region_name,a,b,c,result
Saudi Arabia,825.4354318,0.397044028,19.68768839,3
Senegal,97.9286143,0.340995275,19.1982769,3
Serbia,340.4939659,0.39884949,15.58900686,3
Seychelles,7.058201423,0.626128794,3.563409078,3
Singapore,480.2581516,0.116392861,50.18334797,3
Slovakia,207.937141,0.423765794,12.8806206,3
Slovenia,438.5923699,0.364484209,11.62869559,3
Somalia,1.020834746,1.101585481,0.348613611,3
South Africa,642.5690729,0.456221224,17.77353333,3
Spain,35658.11395,0.429407501,47.53181493,-1
Sri Lanka,94.02260925,0.54493478,51.64598893,3
Sudan,2.311737192,0.415704674,3.537017699,3
Suriname,6.501740086,0.628590362,7.127303975,3
Sweden,2013.420776,0.312248859,44.95802106,1
Switzerland,9805.824332,0.412104404,24.23523933,2
Taiwan*,207.2239735,0.120956139,55.79419346,3
Tanzania,12.51732345,0.68763187,4.86034885,3
Thailand,1012.141712,0.391475036,60.22353802,3
The Bahamas,0,0,0,3
The Gambia,0,0,0,3
Togo,17.56049215,2.394152264,14.99705204,3
Trinidad and Tobago,51.09492174,8.69155247,7.177632589,3
Tunisia,125.8455376,0.374598612,17.68213736,3
Turkey,1984.140019,0.959368921,11.57877773,1
US,53292.64947,0.626801095,26.85165113,-1
Ukraine,96.8840784,0.729188548,18.91121205,3
United Arab Emirates,202.7726496,0.183118211,46.62634965,3
United Kingdom,8104.700784,0.42504431,49.71398105,2
Uruguay,163.2030174,0.659350868,6.418232675,3
Uzbekistan,48.00943823,0.798888437,4.935045326,3
Venezuela,84.31351417,0.51070413,5.800017386,3
Vietnam,147.5498049,0.156410161,54.96257464,3
Zambia,2.615566074,1.448630794,0.870077953,3
