region_name,a,b,c,result
Sri Lanka,-0.23793974943482882,-0.0015211853466701936,2.1585738734882125,5
Sudan,-0.24778109715968666,-0.13867033471310297,-0.8833696634131655,2
Suriname,-0.24733147461742208,0.08726069579682953,-0.6563548706739173,2
Sweden,-0.031972186837722336,-0.24846577993436622,1.7356918180922483,5
Switzerland,0.8042182373304764,-0.1424912243128491,0.42538460641834885,2
Taiwan*,-0.22579229119445815,-0.4514806550284965,2.4208659915048094,5
Tanzania,-0.24668595194029008,0.14992018629907714,-0.7996950692790302,2
Thailand,-0.1394178496835875,-0.16438473164439232,2.700934671259057,5
The Bahamas,-0.24802916599868502,-0.5798488200634924,-1.1070162693178411,4
The Gambia,-0.24802916599868502,-0.5798488200634924,-1.1070162693178411,4
Togo,-0.24614477753317693,1.9610138057190738,-0.15874852718297455,2
Trinidad and Tobago,-0.24254625126312646,8.644310045318992,-0.6531725785117467,2
Tunisia,-0.23452488163902896,-0.18229531972320465,0.011030159124489534,2
Turkey,-0.03511425827175933,0.438308910486868,-0.3748869558085325,2
US,5.470720234634439,0.08536178497306669,0.5908210470910601,1
Ukraine,-0.2376326897343029,0.19402340043862715,0.08874489119935482,2
United Arab Emirates,-0.2262699556779903,-0.385509376651189,1.8411806955702212,5
United Kingdom,0.6216733766925333,-0.1287583786493038,2.0364124816848155,5
Uruguay,-0.2305161099352375,0.11990616334740986,-0.7011896447928738,2
Uzbekistan,-0.24287734958811044,0.26799440288665416,-0.7949719904730737,2
Venezuela,-0.2389816169760682,-0.037849442554476496,-0.7402795682451421,2
Vietnam,-0.23219583125689464,-0.4138540592651316,2.3682825038530413,5
Zambia,-0.2477484937658957,0.957552078943123,-1.0520010000654556,2
