"""region_name""","""a""","""b""","""c"""
Afghanistan,42.2808862856919,0.359410399033706,22.9865905898334
Albania,96.7487824759401,0.351875055801268,7.88926395609122
Algeria,244.488483548694,0.446628138960172,24.6135262706979
Andorra,137.094791942979,0.689704074026223,18.5587349809909
Antigua and Barbuda,1.26654022362677,0.641629911687724,-1.01047964665845
Argentina,353.88100452964,0.496107956950684,18.6282768430798
Armenia,225.826955633026,0.549482919471093,18.7387508524707
Australia,2074.81977267551,0.413290857548987,55.2993663203684
Austria,6185.92726185378,0.355241256631258,25.9041141349164
Azerbaijan,69.4648019879066,0.379309401261244,17.5566150826859
Bahrain,347.395293696735,0.217017335270461,18.146975509276
Bangladesh,29.7530841512324,0.568674474898397,11.0658067835594
Barbados,15.8090778589645,0.999132734517357,4.62192978192041
Belarus,73.4503220538227,0.410274800008775,17.7074486553869
Belgium,4683.63382298152,0.360937828262106,45.6716652177435
Benin,3.6207022236592,0.55799893148897,3.49998842448333
Bhutan,1.16201302162875,0.641416426401118,-1.15738082831966
Bolivia,22.3807985682857,0.410823553767235,6.5277232135258
Bosnia and Herzegovina,142.547215194303,0.589178035112343,15.2253525511136
Brazil,2446.05775326285,0.581339250685687,25.016425592445
Brunei,84.8417848064681,0.49871746902577,6.63658723170915
Bulgaria,206.787772970818,0.462996902245238,11.395859036138
Burkina Faso,100.864537046786,0.723247900668093,11.1039041010395
Cambodia,73.2803752571606,0.681676295755001,52.2565724831247
Canada,2813.15013753177,0.454266877717152,56.0273501405269
Central African Republic,2.54463664802475,0.615595024669445,2.93093419108332
Chile,913.593425779684,0.509418938769766,18.1540492223403
China,78103.9721495412,0.226363993242149,18.8090978712385
Colombia,347.980182698515,0.530751972398044,15.3430182765797
Congo (Brazzaville),3.05899290854236,0.797302061342648,3.31651527546992
Congo (Kinshasa),35.4175680756389,0.898831652381282,9.86621594841528
Costa Rica,162.993378484256,0.481399089332319,14.065066434242
Cote d'Ivoire,63.7632937218594,8.3814767426761,13.0521532264552
Croatia,354.875690197321,0.561029940973053,25.2108566466213
Cuba,40.406550564569,0.853710271807303,9.28473319623046
Cyprus,108.767949244092,0.450124584167817,9.84805929793905
Denmark,1543.16009927857,0.352407519347913,17.1483325267033
Djibouti,1.93847886771934,0.513647497712912,1.19773938349789
Dominican Republic,281.125874994523,1.07498181553737,21.1401005256681
Ecuador,1081.82425636556,0.870770109166705,20.8471942656433
Egypt,361.209239359115,0.353165825035188,32.4932425402734
Equatorial Guinea,6.50485397284691,1.92087097822796,3.76305117340815
Estonia,319.448238703453,0.566950334816309,18.1736943776112
Eswatini,2.83868335282678,0.448457667039291,4.8634746091838
Ethiopia,9.38690266893876,0.696654918168764,4.82815295692098
Finland,707.205440622119,0.360926383696331,49.3969049576173
France,12855.6276866975,0.467658491655501,52.4366113209872
Gabon,4.52621016880966,1.11458718414011,6.38308815605143
Georgia,50.0806459136859,0.304836476253452,16.624340971389
Germany,36610.9483956969,0.376605365359775,53.6610196605927
Ghana,38.1952842155519,0.609032383611919,7.43209542957777
Greece,693.232492155811,0.318514527404434,20.2946095482432
Guatemala,18.0701507541903,0.825755296562522,5.65828654678542
Guinea,2.10266025162204,0.289378479571927,1.78645309849956
Guyana,8.11104921516816,0.79127943617721,4.55241505022864
Holy See,1.05962782347609,0.676573149410491,-1.1852986328298
Honduras,25.4190272364325,0.79162261373705,8.26573765141285
Hungary,167.828445300471,0.436148431129135,16.0629278518258
Iceland,668.168452025172,0.327092743396519,20.3621292716231
India,506.284047489125,0.380840801566381,50.0686785002945
Indonesia,657.932321507461,0.449375020740519,18.0938064704002
Iran,24205.0889022372,0.223460704816857,24.2954684584026
Iraq,270.93794313389,0.232573991424053,21.1012357285384
Ireland,1305.97125249669,0.520496766426433,20.8698530196017
Israel,2028.57611619589,0.41788005383823,29.976172303901
Italy,75565.3013636538,0.26346172120362,47.7433367019907
Jamaica,15.6340663531245,0.562544546328582,4.17152539348072
Japan,1124.20688265955,0.155195174497753,47.9263733072963
Jordan,124.883329871195,0.665155654769708,16.7316474770615
Kazakhstan,59.108743750062,0.727713414623306,5.35549658937396
Kenya,18.0471664233334,0.701507578713281,8.24059322214375
"Korea, South",8456.32034854015,0.31471261554319,40.9570761216358
Kuwait,182.335541674879,0.158235100523582,16.7536366360127
Kyrgyzstan,32.740409226457,0.90110954929865,4.84575696942003
Latvia,173.420736729744,0.511883445120782,17.6711355501544
Lebanon,270.860475783551,0.279967678052368,25.8317059010171
Liberia,2.47569783644337,0.810668001504349,1.65276288433257
Liechtenstein,40.5287504590598,0.853878693171468,15.00833251366
Lithuania,189.653598565392,0.927563055440706,22.9600364715595
Luxembourg,1034.18654626282,0.670901610674278,21.070808705317
Malaysia,1554.16966804415,0.389949029599118,53.7188052902521
Maldives,11.8938422070441,0.556085044978032,2.95865831678656
Malta,98.9432138302716,0.471576325938005,12.1738354660268
Martinique,45.3979862801222,0.493486055038141,12.1578023505583
Mauritania,1.58669971392893,0.459046156371698,-0.208160897245182
Mauritius,37.8585557440146,1.0212235135417,4.3966401185949
Mexico,339.108957137724,0.542434114185534,21.7710312681704
Moldova,110.201120916571,0.558204753421715,12.0248153344134
Monaco,18.3330905565825,0.575446573260571,19.3997103535638
Mongolia,8.24368927160205,0.871581168411014,8.08878112454452
Montenegro,37.6141097824473,0.92173769058799,5.34320849371077
Morocco,145.533436581588,0.518605374618409,18.1722144068067
Namibia,3.48824981041242,0.379699661437692,1.47604906076876
Nepal,0.946750073414406,0.541341417451619,-1.15166055149934
