,region_name,a,b,c
43,Dominican Republic,327.4368756,0.868163312,21.54765908
44,Ecuador,1166.914782,0.783707567,21.08734056
45,Egypt,397.6017994,0.316559947,33.21424347
46,Equatorial Guinea,7.802463376,0.805237608,4.263969386
47,Estonia,337.0088173,0.504280736,18.49341661
48,Eswatini,4.868776132,0.481203608,8.150521476
49,Ethiopia,11.39766007,0.526955731,5.781781099
50,Finland,770.6218939,0.332151301,50.02994721
51,France,12569.01481,0.481993221,52.31658893
52,French Guiana,0,0,0
53,Gabon,5.910505513,0.679501255,7.057540025
54,"Gambia, The",0,0,0
55,Georgia,59.62971384,0.247149123,18.37718854
56,Germany,30177.46172,0.465549065,52.51108233
57,Ghana,59.75657459,0.47495145,9.301757739
58,Greece,703.7382945,0.31257869,20.41974161
59,Greenland,0,0,0
60,Guadeloupe,0,0,0
61,Guam,0,0,0
62,Guatemala,21.0555319,0.674952149,6.211089697
63,Guernsey,0,0,0
64,Guinea,1.907542101,0.320866051,1.720677048
65,Guyana,9.688696318,0.531848052,5.434283574
66,Holy See,1.197833086,0.903378975,0.699045008
67,Honduras,29.1919988,0.638926192,8.752326341
68,Hungary,210.5600971,0.364918022,17.38629077
69,Iceland,711.4621289,0.309081359,20.82012142
70,India,624.7448054,0.326866921,51.3836592
71,Indonesia,715.4017412,0.410989233,18.57467237
72,Iran,20288.846,0.278055831,22.37656824
73,Iraq,293.1720782,0.217445064,21.93511474
74,Ireland,1385.188427,0.486416404,21.16339564
75,Israel,2113.411055,0.40648096,30.19338035
76,Italy,56945.80553,0.348979636,45.4282781
77,Jamaica,18.01078623,0.439276721,5.094280676
78,Japan,1007.187551,0.176166159,46.23885387
79,Jersey,0,0,0
80,Jordan,146.8872339,0.536619623,17.50521312
81,Kazakhstan,64.96628567,0.6065225,5.788214147
82,Kenya,27.36120556,0.534658952,9.817590954
83,"Korea, South",8249.473388,0.333687097,40.71913266
84,Kosovo,0,0,0
85,Kuwait,188.7013523,0.155114721,17.31107494
86,Kyrgyzstan,53.09093245,0.745058212,6.163393925
87,Latvia,205.8970851,0.423740701,18.59885198
88,Lebanon,316.0330071,0.250008406,27.19603502
89,Liberia,2.917302535,0.746497964,2.561658484
90,Liechtenstein,48.04911633,0.616764956,15.7355416
91,Lithuania,232.570391,0.720642516,23.55813367
92,Luxembourg,1111.901049,0.607934548,21.36952083
93,Malaysia,1601.111063,0.375682596,53.91774777
94,Maldives,12.90741417,0.518168415,3.544485812
95,Malta,122.0029187,0.382434875,13.40695633
96,Martinique,60.63791109,0.38060867,13.82037815
97,Mauritania,2.009666858,0.497528804,2.724876733
98,Mauritius,47.78763959,0.832493711,5.023975304
99,Mayotte,0,0,0
100,Mexico,403.2164858,0.460827716,22.6100919
101,Moldova,134.1819903,0.451224179,13.00009476
102,Monaco,26.03275038,0.448650771,21.08886014
103,Mongolia,10.04315916,0.601475699,8.877568186
104,Montenegro,52.89438268,0.723492903,6.368944959
105,Morocco,181.0348691,0.425715044,19.30622275
106,Namibia,5.789975256,0.286478678,6.088980799
107,Nepal,1.239268419,0.728311688,-0.561800374
108,Netherlands,5470.327513,0.371272344,21.90270275
109,New Zealand,178.3430643,0.614053398,24.26777031
110,Nigeria,44.89854054,0.797395532,22.95444061
111,North Macedonia,161.6667619,0.518814811,24.42599028
112,Norway,2515.501687,0.316425154,19.3301289
113,Oman,81.73150823,0.18449784,23.9784064
114,Pakistan,978.6622398,0.56817566,23.39801845
115,Panama,403.0877471,0.453857974,11.86781616
116,Paraguay,28.26702886,0.302163785,12.12418501
117,Peru,432.4428814,0.510269892,14.03552054
118,Philippines,569.9308006,0.320884957,50.6761578
119,Poland,965.2386587,0.40928602,17.16707507
120,Portugal,2607.476073,0.490365688,19.73924528
121,Puerto Rico,0,0,0
122,Qatar,476.0266548,0.654403287,12.97796425
123,Republic of the Congo,0,0,0
124,Reunion,0,0,0
125,Romania,828.3322597,0.340365856,24.71753456
126,Russia,524.1248935,0.437915003,49.90904929
127,Rwanda,46.10762482,0.524591534,8.519727419
128,Saint Lucia,2.282375006,1.417854734,1.204273441
129,Saint Vincent and the Grenadines,0.962642007,0.827580033,-0.691531966
130,San Marino,173.999453,0.254529084,16.9518156
131,Saudi Arabia,825.4354318,0.397044028,19.68768839
132,Senegal,97.9286143,0.340995275,19.1982769
133,Serbia,340.4939659,0.39884949,15.58900686
134,Seychelles,7.058201423,0.626128794,3.563409078
135,Singapore,480.2581516,0.116392861,50.18334797
136,Slovakia,207.937141,0.423765794,12.8806206
137,Slovenia,438.5923699,0.364484209,11.62869559
138,Somalia,1.020834746,1.101585481,0.348613611
139,South Africa,642.5690729,0.456221224,17.77353333
140,Spain,35658.11395,0.429407501,47.53181493
141,Sri Lanka,94.02260925,0.54493478,51.64598893
142,Sudan,2.311737192,0.415704674,3.537017699
143,Suriname,6.501740086,0.628590362,7.127303975
144,Sweden,2013.420776,0.312248859,44.95802106
145,Switzerland,9805.824332,0.412104404,24.23523933
146,Taiwan*,207.2239735,0.120956139,55.79419346
147,Tanzania,12.51732345,0.68763187,4.86034885
148,Thailand,1012.141712,0.391475036,60.22353802
149,The Bahamas,0,0,0
150,The Gambia,0,0,0
151,Togo,17.56049215,2.394152264,14.99705204
152,Trinidad and Tobago,51.09492174,8.69155247,7.177632589
153,Tunisia,125.8455376,0.374598612,17.68213736
154,Turkey,1984.140019,0.959368921,11.57877773
155,US,53292.64947,0.626801095,26.85165113
156,Ukraine,96.8840784,0.729188548,18.91121205
157,United Arab Emirates,202.7726496,0.183118211,46.62634965
158,United Kingdom,8104.700784,0.42504431,49.71398105
159,Uruguay,163.2030174,0.659350868,6.418232675
160,Uzbekistan,48.00943823,0.798888437,4.935045326
161,Venezuela,84.31351417,0.51070413,5.800017386
162,Vietnam,147.5498049,0.156410161,54.96257464
163,Zambia,2.615566074,1.448630794,0.870077953
